flame,bed,sofa,teeth
temper,actor,representative,sticks
uncle,ducks,volcano,representative
club,trade,wren,fang
orange,afterthought,base,card
pollution,pipe,potato,discovery
mine,sheet,farm,drop
cart,metal,teeth,afternoon
veil,desk,pump,cat
bat,trains,canvas,spark
muscle,street,secretary,current
quiver,star,bomb,chicken
giants,island,tin,pump
basin,uncle,income,chess
approval,range,health,kiss
quartz,meeting,event,market
anger,finger,boundary,name
arithmetic,substance,seed,zebra
pull,boundary,chess,jail
quiet,yak,water,side
dogs,salt,apparel,scent
position,design,hands,stream
show,children,mouth,cap
railway,pigs,error,bike
laborer,cover,tongue,cabbage
balance,table,fireman,hobbies
team,iron,library,page
activity,jar,jam,touch
talk,brake,pizzas,pan
window,planes,connection,insect
field,bait,bead,horse
airplane,jail,ghost,school
ground,pail,request,instrument
actor,year,yak,field
digestion,rest,quartz,flight
morning,shame,sound,office
minute,quiver,sheep,history
babies,coat,children,team
cake,ladybug,jeans,education
division,flavor,son,tub
building,connection,cars,sense
desire,whip,store,rabbit
spiders,thunder,quill,roll
mass,station,waste,scissors
afternoon,turn,skirt,room
geese,beds,elbow,giraffe
riddle,record,rings,bottle
development,chalk,giants,smell
dust,wall,number,knee
behavior,month,wind,tent
